Island,Site,Transect,FG.how,FG.what,biomass_kg_ha,productivity_kg_ha_day
Felicite,Site 1,4,Cropper,Turf algae,31.4,0.065440333
Felicite,Site 1,4,Excavator,Microscopic cyanobacteria,11.9,0.031431862
Felicite,Site 1,4,Farmer,Turf algae (within defended territories),19.5,0.022587483
Felicite,Site 1,4,Scraper,Microscopic cyanobacteria,140.1,0.179818823
Felicite,Site 1,4,Sediment sucker,Detritus and sediment,0,0
Fregate,High,1,Browser,Macroalgae,79.8,0.06523691
Fregate,High,1,Brusher,Detritus and sediment,1.8,0.002373634
Fregate,High,1,Concealed cropper,Turf algae,0,0
Fregate,High,1,Cropper,Turf algae,59.5,0.061252222
Fregate,High,1,Excavator,Microscopic cyanobacteria,91,0.025430977
Fregate,High,1,Farmer,Turf algae (within defended territories),23.6,0.014052574
Fregate,High,1,Scraper,Microscopic cyanobacteria,62.1,0.05119504
Fregate,High,1,Sediment sucker,Detritus and sediment,0,0
Fregate,High,2,Browser,Macroalgae,90,0.066906104
Fregate,High,2,Brusher,Detritus and sediment,6.2,0.004578971
Fregate,High,2,Concealed cropper,Turf algae,0,0
Fregate,High,2,Cropper,Turf algae,65.4,0.093221581
Fregate,High,2,Excavator,Microscopic cyanobacteria,212.6,0.056144277
Fregate,High,2,Farmer,Turf algae (within defended territories),19.2,0.014009991
Fregate,High,2,Scraper,Microscopic cyanobacteria,125.5,0.061891827
Fregate,High,2,Sediment sucker,Detritus and sediment,0,0
Fregate,High,3,Browser,Macroalgae,314.2,0.33963348
Fregate,High,3,Brusher,Detritus and sediment,9.3,0.006868456
Fregate,High,3,Concealed cropper,Turf algae,3.3,0.007633439
Fregate,High,3,Cropper,Turf algae,117.4,0.245795987
Fregate,High,3,Excavator,Microscopic cyanobacteria,282,0.24621473
Fregate,High,3,Farmer,Turf algae (within defended territories),29.1,0.023848449
Fregate,High,3,Scraper,Microscopic cyanobacteria,106.3,0.034455318
Fregate,High,3,Sediment sucker,Detritus and sediment,111.2,0.117745966
Fregate,High,4,Browser,Macroalgae,0,0
Fregate,High,4,Brusher,Detritus and sediment,17.2,0.046019509
Fregate,High,4,Concealed cropper,Turf algae,62.7,0.047882063
Fregate,High,4,Cropper,Turf algae,0,0
Fregate,High,4,Excavator,Microscopic cyanobacteria,188.5,0.125396053
Fregate,High,4,Farmer,Turf algae (within defended territories),6.2,0.008525051
Fregate,High,4,Scraper,Microscopic cyanobacteria,56.6,0.048227729
Fregate,High,4,Sediment sucker,Detritus and sediment,0,0
Fregate,Low,1,Browser,Macroalgae,40.8,0.057699298
Fregate,Low,1,Brusher,Detritus and sediment,84.4,0.054732662
Fregate,Low,1,Concealed cropper,Turf algae,25.1,0.042488754
Fregate,Low,1,Cropper,Turf algae,136,0.159451072
Fregate,Low,1,Excavator,Microscopic cyanobacteria,0,0
Fregate,Low,1,Farmer,Turf algae (within defended territories),0,0
Fregate,Low,1,Scraper,Microscopic cyanobacteria,17.7,0.033267456
Fregate,Low,1,Sediment sucker,Detritus and sediment,0,0
Fregate,Low,2,Browser,Macroalgae,0,0
Fregate,Low,2,Brusher,Detritus and sediment,49.4,0.065851667
Fregate,Low,2,Concealed cropper,Turf algae,0,0
Fregate,Low,2,Cropper,Turf algae,122.4,0.223542821
Fregate,Low,2,Excavator,Microscopic cyanobacteria,0,0
Fregate,Low,2,Farmer,Turf algae (within defended territories),0,0
Fregate,Low,2,Scraper,Microscopic cyanobacteria,93.2,0.101456812
